"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 07월 11일","2,080.58","2,070.59","2,088.24","2,070.21","376.68M","1.06%"
"2019년 07월 10일","2,058.78","2,061.55","2,068.20","2,056.48","355.68M","0.33%"
"2019년 07월 09일","2,052.03","2,070.35","2,075.30","2,052.03","440.12M","-0.59%"
"2019년 07월 08일","2,064.17","2,091.91","2,092.54","2,063.78","515.95M","-2.20%"
"2019년 07월 05일","2,110.59","2,111.00","2,115.43","2,096.23","459.39M","0.09%"
"2019년 07월 04일","2,108.73","2,102.36","2,108.80","2,088.97","446.93M","0.61%"
"2019년 07월 03일","2,096.02","2,120.75","2,127.71","2,093.32","522.71M","-1.23%"
"2019년 07월 02일","2,122.02","2,122.07","2,130.86","2,112.52","460.83M","-0.36%"
"2019년 07월 01일","2,129.74","2,147.24","2,147.24","2,126.87","412.29M","-0.04%"
"2019년 06월 28일","2,130.62","2,135.06","2,139.24","2,123.97","537.27M","-0.17%"
"2019년 06월 27일","2,134.32","2,120.73","2,141.27","2,118.22","644.90M","0.59%"
"2019년 06월 26일","2,121.85","2,120.20","2,128.25","2,115.72","736.85M","0.01%"
